data_inversa,n_crashes
2021-12-21,147
2021-12-22,192
2021-12-23,216
2021-12-24,197
2021-12-25,155
2021-12-26,191
2021-12-27,168
2021-12-28,138
2021-12-29,151
2021-12-30,198
2021-12-31,196
2022-01-01,164
2022-01-02,209
2022-01-03,193
2022-01-04,140
2022-01-05,151
2022-01-06,159
2022-01-07,159
2022-01-08,196
2022-01-09,187
2022-01-10,152
2022-01-11,107
2022-01-12,126
2022-01-13,150
2022-01-14,175
2022-01-15,204
2022-01-16,205
2022-01-17,174
2022-01-18,151
2022-01-19,137
2022-01-20,147
2022-01-21,161
2022-01-22,205
2022-01-23,196
2022-01-24,131
2022-01-25,135
2022-01-26,133
2022-01-27,141
2022-01-28,184
2022-01-29,163
2022-01-30,169
2022-01-31,145
2022-02-01,121
2022-02-02,133
2022-02-03,129
2022-02-04,183
2022-02-05,213
2022-02-06,213
2022-02-07,189
2022-02-08,149
2022-02-09,143
2022-02-10,135
2022-02-11,187
2022-02-12,249
2022-02-13,221
2022-02-14,156
2022-02-15,138
2022-02-16,141
2022-02-17,144
2022-02-18,165
2022-02-19,202
2022-02-20,208
2022-02-21,174
2022-02-22,134
2022-02-23,148
2022-02-24,150
2022-02-25,220
2022-02-26,241
2022-02-27,227
2022-02-28,156
2022-03-01,163
2022-03-02,153
2022-03-03,194
2022-03-04,156
2022-03-05,207
2022-03-06,193
2022-03-07,152
2022-03-08,158
2022-03-09,164
2022-03-10,141
2022-03-11,193
2022-03-12,214
2022-03-13,218
2022-03-14,183
2022-03-15,147
2022-03-16,131
2022-03-17,130
2022-03-18,181
2022-03-19,211
2022-03-20,187
2022-03-21,158
2022-03-22,120
2022-03-23,133
2022-03-24,155
2022-03-25,175
2022-03-26,201
2022-03-27,185
2022-03-28,168
2022-03-29,115
2022-03-30,136
2022-03-31,153
2022-04-01,185
2022-04-02,213
2022-04-03,206
2022-04-04,154
2022-04-05,149
2022-04-06,160
2022-04-07,178
2022-04-08,213
2022-04-09,220
2022-04-10,201
2022-04-11,172
2022-04-12,156
2022-04-13,191
2022-04-14,202
2022-04-15,136
2022-04-16,149
2022-04-17,249
2022-04-18,190
2022-04-19,156
2022-04-20,153
2022-04-21,150
2022-04-22,170
2022-04-23,205
2022-04-24,211
2022-04-25,179
2022-04-26,127
2022-04-27,142
2022-04-28,138
2022-04-29,192
2022-04-30,192
2022-05-01,208
2022-05-02,182
2022-05-03,157
2022-05-04,141
2022-05-05,154
2022-05-06,177
2022-05-07,208
